#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN90394_c0_g1_i1:520-750    -             77 544849at33208        -            133   2.8e-22   75.0   2.2   1   1   8.5e-24   3.1e-22   74.9   2.2    73   133     3    67     1    67 0.92 -
TRINITY_DN90394_c0_g1_i3:518-748    -             77 544849at33208        -            133   2.8e-22   75.0   2.2   1   1   8.5e-24   3.1e-22   74.9   2.2    73   133     3    67     1    67 0.92 -
TRINITY_DN90394_c0_g1_i5:202-432    -             77 544849at33208        -            133   2.8e-22   75.0   2.2   1   1   8.5e-24   3.1e-22   74.9   2.2    73   133     3    67     1    67 0.92 -
TRINITY_DN11797_c0_g1_i12:1298-1528 -             77 544849at33208        -            133   2.6e-18   62.2   0.3   1   2   1.7e-11   6.1e-10   35.1   0.0     2    40     1    39     1    46 0.89 -
TRINITY_DN11797_c0_g1_i12:1298-1528 -             77 544849at33208        -            133   2.6e-18   62.2   0.3   2   2   1.1e-08   3.9e-07   26.0   0.1     4    34    47    77    43    77 0.95 -
TRINITY_DN11797_c0_g1_i1:1505-1735  -             77 544849at33208        -            133   2.6e-18   62.2   0.3   1   2   1.7e-11   6.1e-10   35.1   0.0     2    40     1    39     1    46 0.89 -
TRINITY_DN11797_c0_g1_i1:1505-1735  -             77 544849at33208        -            133   2.6e-18   62.2   0.3   2   2   1.1e-08   3.9e-07   26.0   0.1     4    34    47    77    43    77 0.95 -
TRINITY_DN11797_c0_g1_i8:1295-1525  -             77 544849at33208        -            133   2.6e-18   62.2   0.3   1   2   1.7e-11   6.1e-10   35.1   0.0     2    40     1    39     1    46 0.89 -
TRINITY_DN11797_c0_g1_i8:1295-1525  -             77 544849at33208        -            133   2.6e-18   62.2   0.3   2   2   1.1e-08   3.9e-07   26.0   0.1     4    34    47    77    43    77 0.95 -
TRINITY_DN3521_c0_g1_i1:1531-1803   -             91 544849at33208        -            133     1e-17   60.2   6.6   1   2   9.7e-11   3.5e-09   32.6   0.5     2    46     2    43     1    47 0.94 -
TRINITY_DN3521_c0_g1_i1:1531-1803   -             91 544849at33208        -            133     1e-17   60.2   6.6   2   2   6.2e-12   2.2e-10   36.5   1.0     4    49    36    82    35    91 0.77 -
TRINITY_DN3521_c0_g1_i2:3181-3453   -             91 544849at33208        -            133     1e-17   60.2   6.6   1   2   9.7e-11   3.5e-09   32.6   0.5     2    46     2    43     1    47 0.94 -
TRINITY_DN3521_c0_g1_i2:3181-3453   -             91 544849at33208        -            133     1e-17   60.2   6.6   2   2   6.2e-12   2.2e-10   36.5   1.0     4    49    36    82    35    91 0.77 -
TRINITY_DN25579_c0_g1_i1:512-757    -             82 544849at33208        -            133   1.7e-17   59.5   1.0   1   2   1.6e-12   5.8e-11   38.4   0.2     3    41     2    40     1    50 0.92 -
TRINITY_DN25579_c0_g1_i1:512-757    -             82 544849at33208        -            133   1.7e-17   59.5   1.0   2   2   5.2e-07   1.9e-05   20.5   0.0     4    34    52    82    48    82 0.93 -
TRINITY_DN15200_c0_g1_i15:4618-5274 -            219 544849at33208        -            133   4.7e-15   51.6   1.3   1   2   4.7e-07   1.7e-05   20.7   0.2     4    39   134   169   131   185 0.84 -
TRINITY_DN15200_c0_g1_i15:4618-5274 -            219 544849at33208        -            133   4.7e-15   51.6   1.3   2   2   5.5e-10     2e-08   30.2   0.0    35    69   185   219   179   219 0.93 -
TRINITY_DN15200_c0_g1_i1:3270-3926  -            219 544849at33208        -            133   4.7e-15   51.6   1.3   1   2   4.7e-07   1.7e-05   20.7   0.2     4    39   134   169   131   185 0.84 -
TRINITY_DN15200_c0_g1_i1:3270-3926  -            219 544849at33208        -            133   4.7e-15   51.6   1.3   2   2   5.5e-10     2e-08   30.2   0.0    35    69   185   219   179   219 0.93 -
TRINITY_DN15200_c0_g1_i6:3706-4362  -            219 544849at33208        -            133   4.7e-15   51.6   1.3   1   2   4.7e-07   1.7e-05   20.7   0.2     4    39   134   169   131   185 0.84 -
TRINITY_DN15200_c0_g1_i6:3706-4362  -            219 544849at33208        -            133   4.7e-15   51.6   1.3   2   2   5.5e-10     2e-08   30.2   0.0    35    69   185   219   179   219 0.93 -
TRINITY_DN15200_c0_g1_i7:488-1144   -            219 544849at33208        -            133   4.7e-15   51.6   1.3   1   2   4.7e-07   1.7e-05   20.7   0.2     4    39   134   169   131   185 0.84 -
TRINITY_DN15200_c0_g1_i7:488-1144   -            219 544849at33208        -            133   4.7e-15   51.6   1.3   2   2   5.5e-10     2e-08   30.2   0.0    35    69   185   219   179   219 0.93 -
TRINITY_DN29703_c0_g1_i1:1170-1415  -             82 544849at33208        -            133   7.1e-15   51.1   0.7   1   1   2.3e-15   8.3e-14   47.6   0.7     2    69     3    82     2    82 0.86 -
TRINITY_DN29703_c0_g1_i6:3331-3576  -             82 544849at33208        -            133   7.1e-15   51.1   0.7   1   1   2.3e-15   8.3e-14   47.6   0.7     2    69     3    82     2    82 0.86 -
TRINITY_DN7654_c0_g1_i1:231-395     -             55 544849at33208        -            133   1.4e-05   20.9   0.2   1   1   4.2e-07   1.5e-05   20.8   0.2    93   133     3    43     1    43 0.95 -
TRINITY_DN7654_c0_g1_i6:327-491     -             55 544849at33208        -            133   1.4e-05   20.9   0.2   1   1   4.2e-07   1.5e-05   20.8   0.2    93   133     3    43     1    43 0.95 -
TRINITY_DN7654_c0_g1_i7:327-491     -             55 544849at33208        -            133   1.4e-05   20.9   0.2   1   1   4.2e-07   1.5e-05   20.8   0.2    93   133     3    43     1    43 0.95 -
TRINITY_DN1611_c0_g1_i1:1931-2341   -            137 544849at33208        -            133   0.00015   17.6   2.7   1   2     0.001     0.036    9.9   1.0    16    62     8    55     1    75 0.77 -
TRINITY_DN1611_c0_g1_i1:1931-2341   -            137 544849at33208        -            133   0.00015   17.6   2.7   2   2    0.0051      0.19    7.6   0.0     7    36    92   121    87   129 0.92 -
TRINITY_DN1611_c0_g1_i2:2066-2476   -            137 544849at33208        -            133   0.00015   17.6   2.7   1   2     0.001     0.036    9.9   1.0    16    62     8    55     1    75 0.77 -
TRINITY_DN1611_c0_g1_i2:2066-2476   -            137 544849at33208        -            133   0.00015   17.6   2.7   2   2    0.0051      0.19    7.6   0.0     7    36    92   121    87   129 0.92 -
TRINITY_DN1611_c0_g1_i3:1931-2341   -            137 544849at33208        -            133   0.00015   17.6   2.7   1   2     0.001     0.036    9.9   1.0    16    62     8    55     1    75 0.77 -
TRINITY_DN1611_c0_g1_i3:1931-2341   -            137 544849at33208        -            133   0.00015   17.6   2.7   2   2    0.0051      0.19    7.6   0.0     7    36    92   121    87   129 0.92 -
TRINITY_DN1611_c0_g1_i4:1931-2341   -            137 544849at33208        -            133   0.00015   17.6   2.7   1   2     0.001     0.036    9.9   1.0    16    62     8    55     1    75 0.77 -
TRINITY_DN1611_c0_g1_i4:1931-2341   -            137 544849at33208        -            133   0.00015   17.6   2.7   2   2    0.0051      0.19    7.6   0.0     7    36    92   121    87   129 0.92 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/544849at33208.hmm
# Target file:     /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /busco_wd/BUSCO/run_metazoa_odb10/hmmer_output/rerun_results/544849at33208.out --cpu 1 /busco_wd/busco_downloads/lineages/metazoa_odb10/hmms/544849at33208.hmm /busco_wd/BUSCO/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /busco_wd
# Date:            Tue Nov 23 10:16:08 2021
# [ok]
